Date,Open,High,Low,Close,Volume,Adj Close
2010-04-01,3147.42,3147.42,3147.42,3147.42,000,3147.42
2010-03-31,3109.10,3109.10,3109.10,3109.10,000,3109.10
2010-03-30,3128.47,3128.47,3128.47,3128.47,000,3128.47
2010-03-29,3123.80,3123.80,3123.80,3123.80,000,3123.80
2010-03-26,3059.72,3059.72,3059.72,3059.72,000,3059.72
2010-03-25,3019.18,3019.18,3019.18,3019.18,000,3019.18
2010-03-24,3056.81,3056.81,3056.81,3056.81,000,3056.81
2010-03-23,3053.12,3053.12,3053.12,3053.12,000,3053.12
2010-03-22,3074.58,3074.58,3074.58,3074.58,000,3074.58
2010-03-19,3067.75,3067.75,3067.75,3067.75,000,3067.75
2010-03-18,3046.09,3046.09,3046.09,3046.09,000,3046.09
2010-03-17,3050.48,3050.48,3050.48,3050.48,000,3050.48
2010-03-16,2992.84,2992.84,2992.84,2992.84,000,2992.84
2010-03-15,2976.94,2976.94,2976.94,2976.94,000,2976.94
2010-03-12,3013.41,3013.41,3013.41,3013.41,000,3013.41
2010-03-11,3051.28,3051.28,3051.28,3051.28,000,3051.28
2010-03-10,3048.93,3048.93,3048.93,3048.93,000,3048.93
2010-03-09,3069.14,3069.14,3069.14,3069.14,000,3069.14
2010-03-08,3053.23,3053.23,3053.23,3053.23,000,3053.23
2010-03-05,3031.06,3031.06,3031.06,3031.06,000,3031.06
2010-03-04,3023.37,3023.37,3023.37,3023.37,000,3023.37
2010-03-03,3097.00,3097.00,3097.00,3097.00,000,3097.00
2010-03-02,3073.11,3073.11,3073.11,3073.11,000,3073.11
2010-03-01,3087.84,3087.84,3087.84,3087.84,000,3087.84
2010-02-26,3051.94,3051.94,3051.94,3051.94,000,3051.94
2010-02-25,3060.62,3060.62,3060.62,3060.62,000,3060.62
2010-02-24,3022.18,3022.18,3022.18,3022.18,000,3022.18
2010-02-23,2982.57,2982.57,2982.57,2982.57,000,2982.57
2010-02-22,3003.40,3003.40,3003.40,3003.40,000,3003.40
2010-02-19,3018.13,3018.13,3018.13,3018.13,000,3018.13
2010-02-18,3018.13,3018.13,3018.13,3018.13,000,3018.13
2010-02-17,3018.13,3018.13,3018.13,3018.13,000,3018.13
2010-02-16,3018.13,3018.13,3018.13,3018.13,000,3018.13
2010-02-15,3018.13,3018.13,3018.13,3018.13,000,3018.13
2010-02-12,3018.13,3018.13,3018.13,3018.13,000,3018.13
2010-02-11,2985.50,2985.50,2985.50,2985.50,000,2985.50
2010-02-10,2982.50,2982.50,2982.50,2982.50,000,2982.50
2010-02-09,2948.84,2948.84,2948.84,2948.84,000,2948.84
2010-02-08,2935.17,2935.17,2935.17,2935.17,000,2935.17
2010-02-05,2939.40,2939.40,2939.40,2939.40,000,2939.40
2010-02-04,2995.31,2995.31,2995.31,2995.31,000,2995.31
2010-02-03,3003.83,3003.83,3003.83,3003.83,000,3003.83
2010-02-02,2934.71,2934.71,2934.71,2934.71,000,2934.71
2010-02-01,2941.36,2941.36,2941.36,2941.36,000,2941.36
2010-01-29,2989.29,2989.29,2989.29,2989.29,000,2989.29
2010-01-28,2994.14,2994.14,2994.14,2994.14,000,2994.14
2010-01-27,2986.61,2986.61,2986.61,2986.61,000,2986.61
2010-01-26,3019.39,3019.39,3019.39,3019.39,000,3019.39
2010-01-25,3094.41,3094.41,3094.41,3094.41,000,3094.41
2010-01-22,3128.59,3128.59,3128.59,3128.59,000,3128.59
2010-01-21,3158.86,3158.86,3158.86,3158.86,000,3158.86
2010-01-20,3151.85,3151.85,3151.85,3151.85,000,3151.85
2010-01-19,3246.87,3246.87,3246.87,3246.87,000,3246.87
2010-01-18,3237.10,3237.10,3237.10,3237.10,000,3237.10
